 id simbad_type simbad_ctlg simbad_sptype simbad_redshift
224 S82sub8_59.12_cand401 Unknown Unknown Unknown Unknown
225 S82sub8_59.12_cand5440 Unknown Unknown Unknown Unknown
226 S82sub8_59.12_cand3148 Unknown Unknown Unknown Unknown
227 S82sub8_59.12_cand5717 Unknown Unknown Unknown Unknown
228 S82sub8_59.12_cand6561 Unknown Unknown Unknown Unknown
229 S82sub8_59.12_cand2304 Unknown Unknown Unknown Unknown
230 S82sub8_59.12_cand4393 Unknown Unknown Unknown Unknown
231 S82sub8_59.12_cand5288 Unknown Unknown Unknown Unknown
232 S82sub8_59.12_cand7001 Unknown Unknown Unknown Unknown
233 S82sub8_59.12_cand5814 Unknown Unknown Unknown Unknown
234 S82sub8_59.12_cand4676 Unknown Unknown Unknown Unknown
235 S82sub8_59.12_cand6365 Unknown Unknown Unknown Unknown
236 S82sub8_59.12_cand3929 Unknown Unknown Unknown Unknown
237 S82sub8_59.12_cand5671 Unknown Unknown Unknown Unknown
238 S82sub8_59.12_cand630 Unknown Unknown Unknown Unknown
239 S82sub8_59.12_cand3060 Unknown Unknown Unknown Unknown
240 S82sub8_59.12_cand6449 Unknown Unknown Unknown Unknown
241 S82sub8_59.12_cand5358 Unknown Unknown Unknown Unknown
242 S82sub8_59.12_cand2864 Unknown Unknown Unknown Unknown
243 S82sub8_59.12_cand5669 Unknown Unknown Unknown Unknown
244 S82sub8_59.12_cand6385 Unknown Unknown Unknown Unknown
245 S82sub8_59.12_cand6706 Unknown Unknown Unknown Unknown
246 S82sub8_59.12_cand1859 Unknown Unknown Unknown Unknown
247 S82sub8_59.12_cand803 Unknown Unknown Unknown Unknown
248 S82sub8_59.12_cand5588 Unknown Unknown Unknown Unknown
249 S82sub8_59.12_cand5212 Unknown Unknown Unknown Unknown
250 S82sub8_59.12_cand2850 Unknown Unknown Unknown Unknown
251 S82sub8_59.12_cand1076 Unknown Unknown Unknown Unknown
